fabric,design,using_part,usage_s_xl,usage_2xl_3xl,usage_s_3xl,k7_key
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Binding Collar,0.0148,0.02146,0.017821559976612597,Long_Sleeve_Shirt_Side_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Binding Shoulder Tape,0.0116,0.016819999999999998,0.013968249711399061,Long_Sleeve_Shirt_Side_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Binding Back Neck &Shoulder line tape,0.0097,0.014065,0.011680346741428527,Long_Sleeve_Shirt_Side_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Binding Bottom Hem,0.0267,0.038715,0.03215105752537543,Long_Sleeve_Shirt_Side_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Binding Sleeve Hem Opening,0.0116,0.016819999999999998,0.013968249711399061,Long_Sleeve_Shirt_Side_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Pocket bag,0.0152,0.02128,0.017984882540622832,Long_Sleeve_Shirt_Side_Seam
OPEN WIDTH,Long_Sleeve_Shirt_Side_Seam,Not specific yet,1.0,1.0,1.0,Long_Sleeve_Shirt_Side_Seam
TUBULAR,Long_Sleeve_Shirt_No_Seam,Whole Garment,1.5447,2.2398149999999997,1.8600651145860458,Long_Sleeve_Shirt_No_Seam
TUBULAR,Long_Sleeve_Shirt_No_Seam,Body & Sleeves,1.48,2.146,1.7821559976612598,Long_Sleeve_Shirt_No_Seam
TUBULAR,Long_Sleeve_Shirt_No_Seam,Collar,0.055,0.07975,0.06622877018335763,Long_Sleeve_Shirt_No_Seam
TUBULAR,Long_Sleeve_Shirt_No_Seam,Sleeves Panel,0.75,1.0875,0.9031195934094222,Long_Sleeve_Shirt_No_Seam
TUBULAR,Long_Sleeve_Shirt_No_Seam,Gusset Under Arms,0.073,0.10584999999999999,0.08790364042518375,Long_Sleeve_Shirt_No_Seam
TUBULAR,Long_Sleeve_Shirt_No_Seam,Insert Side Panel (cut part),0.05,0.0725,0.06020797289396147,Long_Sleeve_Shirt_No_Seam
TUBULAR,Long_Sleeve_Shirt_No_Seam,Back Neck Tape,0.0098,0.014209999999999999,0.01180076268721645,Long_Sleeve_Shirt_No_Seam
TUBULAR,Long_Sleeve_Shirt_No_Seam,Binding Collar,0.0148,0.02146,0.017821559976612597,Long_Sleeve_Shirt_No_Seam
TUBULAR,Long_Sleeve_Shirt_No_Seam,Binding Shoulder Tape,0.0116,0.016819999999999998,0.013968249711399061,Long_Sleeve_Shirt_No_Seam
TUBULAR,Long_Sleeve_Shirt_No_Seam,Binding Back Neck &Shoulder line tape,0.0097,0.014065,0.011680346741428527,Long_Sleeve_Shirt_No_Seam
TUBULAR,Long_Sleeve_Shirt_No_Seam,Binding Bottom Hem,0.0267,0.038715,0.03215105752537543,Long_Sleeve_Shirt_No_Seam
TUBULAR,Long_Sleeve_Shirt_No_Seam,Binding Sleeve Hem Opening,0.0116,0.016819999999999998,0.013968249711399061,Long_Sleeve_Shirt_No_Seam
TUBULAR,Long_Sleeve_Shirt_No_Seam,Pocket bag,0.0201,0.02814,0.023782640728060456,Long_Sleeve_Shirt_No_Seam
TUBULAR,Long_Sleeve_Shirt_No_Seam,Not specific yet,1.0,1.0,1.0,Long_Sleeve_Shirt_No_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Whole Garment,0.6567000000000001,0.952215,0.7907715159892901,Sleeveless_Shirt_Side_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Body,0.62,0.899,0.7465788638851223,Sleeveless_Shirt_Side_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Collar,0.027,0.03915,0.0325123053627392,Sleeveless_Shirt_Side_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Front Body Panel,0.31,0.4495,0.37328943194256115,Sleeveless_Shirt_Side_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Back Body Panel,0.31,0.4495,0.37328943194256115,Sleeveless_Shirt_Side_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Gusset Under Arms,0.073,0.10584999999999999,0.08790364042518375,Sleeveless_Shirt_Side_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Insert Side Panel (cut part),0.05,0.0725,0.06020797289396147,Sleeveless_Shirt_Side_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Back Neck Tape,0.0068,0.009859999999999999,0.00818828431357876,Sleeveless_Shirt_Side_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Binding Collar,0.0148,0.02146,0.017821559976612597,Sleeveless_Shirt_Side_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Binding Shoulder Tape,0.0116,0.016819999999999998,0.013968249711399061,Sleeveless_Shirt_Side_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Binding Back Neck &Shoulder line tape,0.0097,0.014065,0.011680346741428527,Sleeveless_Shirt_Side_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Binding Bottom Hem,0.0267,0.038715,0.03215105752537543,Sleeveless_Shirt_Side_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Binding Sleeve Hem Opening,0.029,0.042050000000000004,0.03492062427849766,Sleeveless_Shirt_Side_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Pocket bag,0.0152,0.02128,0.017984882540622832,Sleeveless_Shirt_Side_Seam
OPEN WIDTH,Sleeveless_Shirt_Side_Seam,Not specific yet,1.0,1.0,1.0,Sleeveless_Shirt_Side_Seam
TUBULAR,Sleeveless_Shirt_No_Seam,Whole Garment,0.885,1.28325,1.0656811202231182,Sleeveless_Shirt_No_Seam
TUBULAR,Sleeveless_Shirt_No_Seam,Body,0.83,1.2035,0.9994523500397605,Sleeveless_Shirt_No_Seam
TUBULAR,Sleeveless_Shirt_No_Seam,Collar,0.055,0.07975,0.06622877018335763,Sleeveless_Shirt_No_Seam
TUBULAR,Sleeveless_Shirt_No_Seam,Gusset Under Arms,0.065,0.09425,0.07827036476214992,Sleeveless_Shirt_No_Seam
TUBULAR,Sleeveless_Shirt_No_Seam,Insert Side Panel (cut part),0.05,0.0725,0.06020797289396147,Sleeveless_Shirt_No_Seam
TUBULAR,Sleeveless_Shirt_No_Seam,Back Neck Tape,0.0068,0.009859999999999999,0.00818828431357876,Sleeveless_Shirt_No_Seam
TUBULAR,Sleeveless_Shirt_No_Seam,Binding Back Neck &Shoulder line tape,0.0097,0.014065,0.011680346741428527,Sleeveless_Shirt_No_Seam
TUBULAR,Sleeveless_Shirt_No_Seam,Binding Bottom Hem,0.0267,0.038715,0.03215105752537543,Sleeveless_Shirt_No_Seam
TUBULAR,Sleeveless_Shirt_No_Seam,Binding Sleeve Hem Opening,0.0076,0.01102,0.009151611879882145,Sleeveless_Shirt_No_Seam
TUBULAR,Sleeveless_Shirt_No_Seam,Pocket bag,0.0201,0.02814,0.023782640728060456,Sleeveless_Shirt_No_Seam
TUBULAR,Sleeveless_Shirt_No_Seam,Not specific yet,1.0,1.0,1.0,Sleeveless_Shirt_No_Seam
